run_id,role,mode,layer,unique_workspace_snapshots,unique_primary_implementations,pairwise_source_line_jaccard,pairwise_function_jaccard,pairwise_ast_signature_jaccard,mean_max_prior_source_line_jaccard,mean_max_summary_line_recall,exact_primary_matches
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,1,3,3,0.426097651536248,0.4074074074074074,0.3620658301509365,0.9431216931216931,0.9640075656430797,1
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,2,3,3,0.7420289855072464,0.9166666666666666,0.36765063660692565,0.6211928083708949,0.7387909237543049,0
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,3,2,2,0.9768115942028985,1.0,0.9682539682539683,0.9884057971014493,0.9941002949852508,2
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,4,2,2,0.9768115942028985,1.0,0.9682539682539683,1.0,1.0,3
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,5,1,1,1.0,1.0,1.0,1.0,1.0,3
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,6,1,1,1.0,1.0,1.0,1.0,1.0,3
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,7,1,1,1.0,1.0,1.0,1.0,1.0,3
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,8,1,1,1.0,1.0,1.0,1.0,1.0,3
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,9,1,1,1.0,1.0,1.0,1.0,1.0,3
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,10,1,1,1.0,1.0,1.0,1.0,1.0,3
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,11,1,1,1.0,1.0,1.0,1.0,1.0,3
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,12,1,1,1.0,1.0,1.0,1.0,1.0,3
cfgpipe-bounded-control,prospective_bounded_context_control,bounded_recent_self_report_acceptance,1,3,3,0.45445762617359564,0.48148148148148145,0.40528265107212474,0.8324127802851207,0.8885547880265475,0
cfgpipe-bounded-control,prospective_bounded_context_control,bounded_recent_self_report_acceptance,2,1,1,1.0,1.0,1.0,1.0,1.0,3
cfgpipe-bounded-control,prospective_bounded_context_control,bounded_recent_self_report_acceptance,3,1,1,1.0,1.0,1.0,1.0,1.0,3
cfgpipe-bounded-control,prospective_bounded_context_control,bounded_recent_self_report_acceptance,4,2,1,1.0,1.0,1.0,1.0,1.0,3
cfgpipe-bounded-control,prospective_bounded_context_control,bounded_recent_self_report_acceptance,5,1,1,1.0,1.0,1.0,1.0,1.0,3
cfgpipe-bounded-control,prospective_bounded_context_control,bounded_recent_self_report_acceptance,6,2,1,1.0,1.0,1.0,1.0,1.0,3
