arm,arm_label,layer,mean_all_score,mean_core_score,min_all_score,max_all_score,zero_score_workers,total_input_tokens,token_ratio_to_no_transfer,mean_received_results,mean_received_experience_chars
no_transfer,No transfer,1,0.9099099099099099,1.0,0.8918918918918919,0.918918918918919,0,114448,1.0,0.0,0.0
no_transfer,No transfer,2,0.8738738738738739,0.6666666666666666,0.8378378378378378,0.918918918918919,0,167764,1.0,0.0,0.0
no_transfer,No transfer,3,0.8558558558558559,0.8333333333333334,0.8378378378378378,0.8918918918918919,0,128673,1.0,0.0,0.0
no_transfer,No transfer,4,0.9099099099099099,1.0,0.8918918918918919,0.918918918918919,0,205218,1.0,0.0,0.0
no_transfer,No transfer,5,0.7027027027027027,0.6666666666666666,0.32432432432432434,0.8918918918918919,0,176320,1.0,0.0,0.0
no_transfer,No transfer,6,0.6126126126126126,0.6666666666666666,0.02702702702702703,0.918918918918919,0,202073,1.0,0.0,0.0
no_transfer,No transfer,7,0.8828828828828829,0.8333333333333334,0.8378378378378378,0.918918918918919,0,125964,1.0,0.0,0.0
no_transfer,No transfer,8,0.9009009009009009,0.8333333333333334,0.8648648648648649,0.918918918918919,0,125488,1.0,0.0,0.0
no_transfer,No transfer,9,0.882882882882883,0.6666666666666666,0.8648648648648649,0.918918918918919,0,135386,1.0,0.0,0.0
no_transfer,No transfer,10,0.9099099099099099,1.0,0.8918918918918919,0.918918918918919,0,137400,1.0,0.0,0.0
no_transfer,No transfer,11,0.9009009009009009,1.0,0.8918918918918919,0.918918918918919,0,163126,1.0,0.0,0.0
no_transfer,No transfer,12,0.8738738738738739,0.6666666666666666,0.8378378378378378,0.918918918918919,0,135168,1.0,0.0,0.0
self_report,Cumulative self-report,1,0.918918918918919,1.0,0.918918918918919,0.918918918918919,0,312031,2.726399762337481,3.0,25934.0
self_report,Cumulative self-report,2,0.9009009009009009,1.0,0.8918918918918919,0.918918918918919,0,466845,2.7827483846355596,6.0,54177.0
self_report,Cumulative self-report,3,0.8918918918918919,1.0,0.8918918918918919,0.8918918918918919,0,484327,3.7640142065545996,9.0,83280.0
self_report,Cumulative self-report,4,0.8918918918918919,1.0,0.8918918918918919,0.8918918918918919,0,679783,3.3124920815912833,12.0,114871.0
self_report,Cumulative self-report,5,0.8918918918918919,1.0,0.8918918918918919,0.8918918918918919,0,847051,4.804055127041742,15.0,146442.0
self_report,Cumulative self-report,6,0.8918918918918919,1.0,0.8918918918918919,0.8918918918918919,0,1116199,5.523741420179836,18.0,178053.0
self_report,Cumulative self-report,7,0.8918918918918919,1.0,0.8918918918918919,0.8918918918918919,0,1057560,8.395732113937315,21.0,209664.0
self_report,Cumulative self-report,8,0.8918918918918919,1.0,0.8918918918918919,0.8918918918918919,0,1418222,11.301654341450975,24.0,241275.0
self_report,Cumulative self-report,9,0.8918918918918919,1.0,0.8918918918918919,0.8918918918918919,0,1592780,11.764731951605041,27.0,272886.0
self_report,Cumulative self-report,10,0.8918918918918919,1.0,0.8918918918918919,0.8918918918918919,0,1511512,11.000815138282388,30.0,304497.0
self_report,Cumulative self-report,11,0.8918918918918919,1.0,0.8918918918918919,0.8918918918918919,0,1657341,10.159882544781334,33.0,336111.0
self_report,Cumulative self-report,12,0.8918918918918919,1.0,0.8918918918918919,0.8918918918918919,0,1902830,14.077518347537879,36.0,367725.0
local_acceptance,Local admission,1,0.918918918918919,1.0,0.918918918918919,0.918918918918919,0,331828,2.899377883405564,3.0,25916.0
local_acceptance,Local admission,2,0.918918918918919,1.0,0.918918918918919,0.918918918918919,0,328080,1.95560430128037,6.0,54721.0
local_acceptance,Local admission,3,0.918918918918919,1.0,0.918918918918919,0.918918918918919,0,454006,3.528370365189278,9.0,86094.0
local_acceptance,Local admission,4,0.918918918918919,1.0,0.918918918918919,0.918918918918919,0,492489,2.399833347951934,12.0,117521.0
local_acceptance,Local admission,5,0.918918918918919,1.0,0.918918918918919,0.918918918918919,0,608188,3.449342105263158,14.0,138438.0
local_acceptance,Local admission,6,0.918918918918919,1.0,0.918918918918919,0.918918918918919,0,833740,4.12593468696956,16.0,159355.0
local_acceptance,Local admission,7,0.918918918918919,1.0,0.918918918918919,0.918918918918919,0,1047327,8.314494617509764,19.0,190694.0
local_acceptance,Local admission,8,0.918918918918919,1.0,0.918918918918919,0.918918918918919,0,1471131,11.723280313655488,22.0,221960.0
local_acceptance,Local admission,9,0.918918918918919,1.0,0.918918918918919,0.918918918918919,0,1231939,9.099456369196224,24.0,237780.0
local_acceptance,Local admission,10,0.6126126126126127,0.6666666666666666,0.0,0.918918918918919,1,800447,5.825669577874818,26.0,258624.0
local_acceptance,Local admission,11,0.6126126126126127,0.6666666666666666,0.0,0.918918918918919,1,994136,6.094282946924463,27.0,269047.0
local_acceptance,Local admission,12,0.918918918918919,1.0,0.918918918918919,0.918918918918919,0,1482781,10.96991151751894,29.0,289893.0
