arm,role,mode,layer,unique_primary_implementations,unique_workspace_snapshots,failed_test_pairwise_jaccard,mean_all_passed,min_all_passed,max_all_passed,core_complete_workers,total_input_tokens,total_output_tokens,mean_duration_sec,mean_received_results,mean_received_experience_chars
no_transfer,independent_control,no_transfer,1,3,3,0.8333333333333334,33.666666666666664,33,34,3,114448,10514,189.99382063331237,0,0
no_transfer,independent_control,no_transfer,2,3,3,0.2777777777777778,32.333333333333336,31,34,1,167764,12951,189.19233903333466,0,0
no_transfer,independent_control,no_transfer,3,3,3,0.2525252525252525,31.666666666666668,31,33,2,128673,7561,144.67381139999875,0,0
no_transfer,independent_control,no_transfer,4,3,3,0.8333333333333334,33.666666666666664,33,34,3,205218,15143,242.59331236666185,0,0
no_transfer,independent_control,no_transfer,5,3,3,0.44,26,12,33,2,176320,16075,279.8365451000088,0,0
no_transfer,independent_control,no_transfer,6,3,3,0.3148148148148148,22.666666666666668,1,34,2,202073,16519,240.99654549998618,0,0
bounded_recent,fixed_three_recent_control,bounded_recent_self_report_acceptance,1,3,3,1.0,34,34,34,3,320135,8221,144.33323686665003,3,25934
bounded_recent,fixed_three_recent_control,bounded_recent_self_report_acceptance,2,1,1,1.0,34,34,34,3,210626,11347,159.24881886667572,3,27222
bounded_recent,fixed_three_recent_control,bounded_recent_self_report_acceptance,3,1,1,1.0,34,34,34,3,205775,13674,178.41719170000093,3,31404
bounded_recent,fixed_three_recent_control,bounded_recent_self_report_acceptance,4,1,2,1.0,34,34,34,3,202638,12166,165.14664079999784,3,32007
bounded_recent,fixed_three_recent_control,bounded_recent_self_report_acceptance,5,1,1,1.0,34,34,34,3,228840,14199,184.94310616664976,3,32032
bounded_recent,fixed_three_recent_control,bounded_recent_self_report_acceptance,6,1,2,1.0,34,34,34,3,231145,13770,174.01178543335604,3,32082
bounded_diverse,prospective_local_diversity_mitigation,bounded_diverse_self_report_acceptance,1,3,3,1.0,34,34,34,3,260452,11842,158.91549953333256,3,25934
bounded_diverse,prospective_local_diversity_mitigation,bounded_diverse_self_report_acceptance,2,2,2,1.0,34,34,34,3,259721,13726,171.36186856667823,3,31722
bounded_diverse,prospective_local_diversity_mitigation,bounded_diverse_self_report_acceptance,3,1,1,1.0,34,34,34,3,259550,13692,167.3977656000061,3,31604
bounded_diverse,prospective_local_diversity_mitigation,bounded_diverse_self_report_acceptance,4,1,1,1.0,34,34,34,3,248603,13591,170.78307316667633,3,31604
bounded_diverse,prospective_local_diversity_mitigation,bounded_diverse_self_report_acceptance,5,1,1,1.0,34,34,34,3,246185,12757,165.22178156664208,3,31604
bounded_diverse,prospective_local_diversity_mitigation,bounded_diverse_self_report_acceptance,6,1,1,1.0,34,34,34,3,233406,13268,163.37503839998195,3,31604
